,batter_name,hho,hho/bbe,hho/pa,hho/ab,hho/hh
0, Francisco Lindor,92,25.205479452054796,17.557251908396946,20.353982300884958,57.14285714285714
1, Adam Duvall,67,19.5906432748538,12.072072072072073,13.060428849902534,44.666666666666664
2, Austin Riley,82,19.069767441860467,12.386706948640484,13.898305084745763,41.83673469387755
3, Ozzie Albies,91,17.913385826771652,13.26530612244898,14.444444444444443,48.148148148148145
4, Jonathan Villar,50,15.432098765432098,9.900990099009901,11.013215859030836,44.24778761061947
5, Jorge Soler,90,23.7467018469657,14.950166112956811,17.441860465116278,50.56179775280899
6, Dominic Smith,70,20.588235294117645,14.198782961460447,15.695067264573993,50.72463768115942
7, Pete Alonso,102,23.28767123287671,16.012558869701728,18.181818181818183,49.275362318840585
8, Michael Conforto,60,19.736842105263158,12.526096033402922,14.742014742014742,50.0
9, Dansby Swanson,85,19.813519813519815,13.016845329249618,14.45578231292517,46.44808743169399
10, Eddie Rosario,60,18.51851851851852,14.563106796116504,15.8311345646438,51.724137931034484
11, Freddie Freeman,107,21.616161616161616,15.39568345323741,17.833333333333336,46.92982456140351
12, Josh Rojas,47,13.390313390313391,8.545454545454545,9.710743801652892,43.11926605504588
13, Ketel Marte,62,22.064056939501782,16.577540106951872,18.235294117647058,45.588235294117645
14, Garrett Hampson,55,16.176470588235293,11.133603238866396,12.141280353200882,51.886792452830186
15, Raimel Tapia,68,16.113744075829384,12.757973733583489,13.963039014373715,51.127819548872175
16, Charlie Blackmon,90,21.12676056338028,15.463917525773196,17.509727626459142,54.87804878048781
17, Christian Walker,63,21.21212121212121,14.157303370786517,15.710723192019952,51.63934426229508
18, Ryan McMahon,89,23.05699481865285,14.93288590604027,16.856060606060606,52.976190476190474
19, Brendan Rodgers,57,18.688524590163937,13.734939759036143,14.690721649484537,46.34146341463415
20, David Peralta,80,20.151133501259448,14.869888475836431,16.39344262295082,48.19277108433735
21, C.J. Cron,58,16.246498599439775,10.603290676416819,12.340425531914894,38.666666666666664
22, Pavin Smith,84,21.374045801526716,15.412844036697248,16.867469879518072,50.0
23, César Hernández,85,19.406392694063925,13.343799058084773,14.912280701754385,58.620689655172406
24, Andrew Vaughn,81,25.233644859813083,17.270788912579956,19.424460431654676,53.64238410596026
25, Akil Baddoo,48,16.3265306122449,10.412147505422993,11.62227602905569,50.526315789473685
26, Willi Castro,48,15.483870967741936,10.666666666666668,11.62227602905569,52.74725274725275
27, Leury García,53,15.963855421686745,11.181434599156118,12.771084337349398,49.074074074074076
28, Yoán Moncada,72,19.726027397260275,11.688311688311687,13.846153846153847,48.322147651006716
29, Tim Anderson,76,18.581907090464547,13.793103448275861,14.421252371916509,44.44444444444444
30, Odúbel Herrera,88,23.218997361477573,17.88617886178862,19.555555555555557,57.89473684210527
31, Jazz Chisholm Jr.,68,20.98765432098765,13.41222879684418,14.655172413793101,50.0
32, Freddy Galvis,44,15.492957746478872,11.16751269035533,12.359550561797752,48.888888888888886
33, J.T. Realmuto,74,21.20343839541547,13.780260707635009,15.546218487394958,47.43589743589743
34, Ronald Torreyes,15,5.30035335689046,4.3604651162790695,4.716981132075472,37.5
35, Alec Bohm,68,24.90842490842491,16.30695443645084,17.894736842105264,50.37037037037037
36, Didi Gregorius,46,14.935064935064934,11.27450980392157,12.5,56.09756097560976
37, Andrew McCutchen,76,21.288515406162464,13.240418118466899,15.767634854771783,53.90070921985816
38, Bryce Harper,78,21.666666666666668,13.02170283806344,15.983606557377051,43.575418994413404
39, Yuli Gurriel,95,20.042194092827003,15.702479338842975,17.92452830188679,47.73869346733669
40, Yordan Alvarez,105,26.582278481012654,17.558528428093645,19.553072625698324,49.06542056074766
41, Jose Altuve,84,16.247582205029012,12.389380530973451,13.976705490848584,46.408839779005525
42, Yan Gomes,55,20.22058823529412,14.666666666666666,15.759312320916905,52.88461538461539
43, Kyle Tucker,105,24.94061757719715,18.51851851851852,20.75098814229249,52.5
44, Carlos Correa,88,19.775280898876403,13.750000000000002,15.827338129496402,46.31578947368421
45, Matt Olson,125,26.997840172786177,18.573551263001487,22.123893805309734,55.309734513274336
46, Mark Canha,68,17.302798982188293,10.879999999999999,13.102119460500964,48.92086330935252
47, Tony Kemp,29,10.069444444444445,7.304785894206549,8.787878787878787,46.03174603174603
48, Michael Brantley,90,21.58273381294964,17.716535433070867,19.189765458422176,50.27932960893855
49, Whit Merrifield,89,15.532286212914483,12.36111111111111,13.403614457831326,53.939393939393945
50, Andrew Benintendi,89,22.084367245657567,16.54275092936803,18.052738336713997,51.14942528735632
51, Andrelton Simmons,40,11.299435028248588,8.869179600886918,9.70873786407767,51.94805194805194
52, Michael A. Taylor,80,23.121387283236995,15.151515151515152,16.563146997929607,57.55395683453237
53, Hunter Dozier,81,23.893805309734514,14.917127071823206,16.632443531827516,56.64335664335665
54, Carlos Santana,114,24.358974358974358,17.298937784522003,20.141342756183743,58.16326530612245
55, Miguel Sanó,74,25.694444444444443,13.909774436090224,15.74468085106383,45.962732919254655
56, Max Kepler,83,24.850299401197603,16.93877551020408,19.483568075117372,58.45070422535211
57, Josh Donaldson,100,28.49002849002849,18.41620626151013,21.88183807439825,54.054054054054056
58, Salvador Perez,121,26.651982378854626,18.195488721804512,19.516129032258064,47.45098039215686
59, Jorge Polanco,85,17.857142857142858,13.198757763975156,14.45578231292517,47.752808988764045
60, Luis Arraez,55,14.248704663212436,11.482254697286013,12.82051282051282,46.61016949152542
61, Nicky Lopez,59,13.470319634703195,10.442477876106194,11.87122736418511,50.0
62, Jackie Bradley Jr.,59,22.868217054263564,13.785046728971961,15.245478036175712,56.730769230769226
63, Gavin Lux,58,22.83464566929134,15.223097112860891,17.261904761904763,56.86274509803921
64, Chris Taylor,58,16.86046511627907,9.965635738831615,11.439842209072978,44.274809160305345
65, AJ Pollock,64,20.915032679738562,15.165876777251185,16.666666666666664,44.13793103448276
66, Will Smith,74,22.839506172839506,14.770459081836327,17.874396135265698,52.112676056338024
67, Eduardo Escobar,68,15.96244131455399,11.352253756260435,12.386156648451731,46.25850340136054
68, Luis Urías,78,20.634920634920633,13.684210526315791,15.918367346938775,50.98039215686274
69, Avisaíl García,77,22.318840579710145,14.951456310679612,16.666666666666664,48.125
70, Willy Adames,75,21.929824561403507,13.513513513513514,15.090543259557343,49.01960784313725
71, Mookie Betts,72,18.7012987012987,13.090909090909092,15.450643776824036,45.56962025316456
72, Omar Narváez,40,12.779552715654951,8.98876404494382,10.230179028132993,50.0
