,batter_name,hho,bbe,hho/bbe,barrels,brl_percent,brl_pa,hh,hh/bbe,ab,hho/pa,pa,ba,est_ba,ba_dif,slg,est_slg,slg_dif,woba,est_woba,woba_dif,hho/hh,barrels/ab,hho/ab
0, Francisco Lindor,92,365,25.205479452054796,30,8.2,5.7,161,44.1,452,17.557251908396946,524,0.23,0.254,-0.0239999999999999,0.412,0.453,-0.041,0.317,0.345,-0.0279999999999999,57.14285714285714,6.637168141592921,20.353982300884958
1, Adam Duvall,67,342,19.5906432748538,55,16.1,9.9,150,43.9,513,12.072072072072073,555,0.228,0.227,0.001,0.491,0.499,-0.008,0.324,0.33,-0.006,44.666666666666664,10.721247563352826,13.060428849902534
2, Austin Riley,82,430,19.069767441860467,57,13.3,8.6,196,45.6,590,12.386706948640484,662,0.303,0.281,0.0219999999999999,0.531,0.511,0.02,0.379,0.366,0.013,41.83673469387755,9.661016949152543,13.898305084745763
3, Ozzie Albies,91,508,17.913385826771652,47,9.3,6.9,189,37.2,630,13.26530612244898,686,0.259,0.26,-0.001,0.488,0.465,0.0229999999999999,0.336,0.332,0.004,48.148148148148145,7.4603174603174605,14.444444444444443
4, Jonathan Villar,50,324,15.432098765432098,24,7.4,4.8,113,34.9,454,9.900990099009901,505,0.249,0.235,0.014,0.416,0.388,0.0279999999999999,0.32,0.307,0.013,44.24778761061947,5.286343612334802,11.013215859030836
5, Jorge Soler,90,379,23.7467018469657,48,12.7,8.0,178,47.0,516,14.950166112956811,602,0.223,0.25,-0.0269999999999999,0.432,0.494,-0.062,0.323,0.359,-0.0359999999999999,50.56179775280899,9.30232558139535,17.441860465116278
6, Dominic Smith,70,340,20.588235294117645,22,6.5,4.5,138,40.7,446,14.198782961460447,493,0.244,0.262,-0.018,0.363,0.42,-0.0569999999999999,0.291,0.325,-0.034,50.72463768115942,4.932735426008969,15.695067264573993
7, Pete Alonso,102,438,23.28767123287671,65,14.8,10.2,207,47.3,561,16.012558869701728,637,0.262,0.271,-0.009,0.519,0.542,-0.023,0.363,0.377,-0.014,49.275362318840585,11.58645276292335,18.181818181818183
8, Michael Conforto,60,304,19.736842105263158,28,9.2,5.8,120,39.5,407,12.526096033402922,479,0.232,0.253,-0.0209999999999999,0.384,0.436,-0.0519999999999999,0.322,0.35,-0.0279999999999999,50.0,6.87960687960688,14.742014742014742
9, Dansby Swanson,85,429,19.813519813519815,49,11.4,7.5,183,42.7,588,13.016845329249618,653,0.248,0.251,-0.003,0.449,0.455,-0.006,0.322,0.332,-0.01,46.44808743169399,8.333333333333332,14.45578231292517
10, Eddie Rosario,60,324,18.51851851851852,19,5.9,4.6,116,35.8,379,14.563106796116504,412,0.259,0.255,0.004,0.435,0.427,0.008,0.316,0.319,-0.003,51.724137931034484,5.013192612137203,15.8311345646438
11, Freddie Freeman,107,495,21.616161616161616,57,11.5,8.2,228,46.1,600,15.39568345323741,695,0.3,0.32,-0.02,0.503,0.583,-0.0799999999999999,0.379,0.416,-0.0369999999999999,46.92982456140351,9.5,17.833333333333336
12, Josh Rojas,47,351,13.390313390313391,17,4.8,3.1,109,31.1,484,8.545454545454545,550,0.264,0.237,0.027,0.411,0.357,0.0539999999999999,0.327,0.299,0.028,43.11926605504588,3.512396694214876,9.710743801652892
13, Ketel Marte,62,281,22.064056939501782,25,8.9,6.7,136,48.4,340,16.577540106951872,374,0.318,0.307,0.011,0.532,0.495,0.037,0.385,0.372,0.013,45.588235294117645,7.352941176470589,18.235294117647058
14, Garrett Hampson,55,340,16.176470588235293,17,5.0,3.4,106,31.2,453,11.133603238866396,494,0.234,0.236,-0.0019999999999999,0.38,0.374,0.006,0.288,0.291,-0.003,51.886792452830186,3.7527593818984544,12.141280353200882
15, Raimel Tapia,68,422,16.113744075829384,9,2.1,1.7,133,31.5,487,12.757973733583489,533,0.273,0.241,0.032,0.372,0.308,0.064,0.305,0.273,0.0319999999999999,51.127819548872175,1.8480492813141685,13.963039014373715
16, Charlie Blackmon,90,426,21.12676056338028,30,7.0,5.2,164,38.5,514,15.463917525773196,582,0.27,0.291,-0.0209999999999999,0.411,0.45,-0.039,0.333,0.359,-0.0259999999999999,54.87804878048781,5.836575875486381,17.509727626459142
17, Christian Walker,63,297,21.21212121212121,19,6.4,4.3,122,41.1,401,14.157303370786517,445,0.244,0.249,-0.005,0.382,0.386,-0.004,0.304,0.311,-0.007,51.63934426229508,4.738154613466334,15.710723192019952
18, Ryan McMahon,89,386,23.05699481865285,28,7.3,4.7,168,43.5,528,14.93288590604027,596,0.254,0.244,0.01,0.449,0.426,0.023,0.334,0.325,0.009,52.976190476190474,5.303030303030303,16.856060606060606
19, Brendan Rodgers,57,305,18.688524590163937,19,6.2,4.6,123,40.3,388,13.734939759036143,415,0.284,0.253,0.0309999999999999,0.47,0.414,0.0559999999999999,0.341,0.311,0.03,46.34146341463415,4.896907216494846,14.690721649484537
20, David Peralta,80,397,20.151133501259448,20,5.0,3.7,166,41.8,488,14.869888475836431,538,0.259,0.243,0.016,0.402,0.345,0.057,0.314,0.293,0.021,48.19277108433735,4.098360655737705,16.39344262295082
21, C.J. Cron,58,357,16.246498599439775,41,11.5,7.5,150,42.0,470,10.603290676416819,547,0.281,0.261,0.02,0.53,0.481,0.049,0.383,0.364,0.019,38.666666666666664,8.72340425531915,12.340425531914894
22, Pavin Smith,84,393,21.374045801526716,20,5.1,3.7,168,42.7,498,15.412844036697248,545,0.267,0.258,0.009,0.404,0.402,0.002,0.318,0.317,0.001,50.0,4.016064257028113,16.867469879518072
23, César Hernández,85,438,19.406392694063925,30,6.8,4.7,145,33.2,570,13.343799058084773,637,0.232,0.243,-0.0109999999999999,0.386,0.386,0.0,0.302,0.311,-0.009,58.620689655172406,5.263157894736842,14.912280701754385
24, Andrew Vaughn,81,321,25.233644859813083,35,10.9,7.5,151,47.3,417,17.270788912579956,469,0.235,0.243,-0.008,0.396,0.434,-0.0379999999999999,0.306,0.332,-0.026,53.64238410596026,8.393285371702639,19.424460431654676
25, Akil Baddoo,48,294,16.3265306122449,26,8.8,5.6,95,32.3,413,10.412147505422993,461,0.259,0.227,0.032,0.436,0.403,0.0329999999999999,0.329,0.309,0.02,50.526315789473685,6.2953995157385,11.62227602905569
26, Willi Castro,48,310,15.483870967741936,16,5.2,3.6,91,29.4,413,10.666666666666668,450,0.22,0.244,-0.0239999999999999,0.351,0.364,-0.013,0.271,0.291,-0.0199999999999999,52.74725274725275,3.87409200968523,11.62227602905569
27, Leury García,53,332,15.963855421686745,11,3.3,2.3,108,32.5,415,11.181434599156118,474,0.267,0.24,0.027,0.376,0.336,0.0399999999999999,0.312,0.291,0.021,49.074074074074076,2.6506024096385543,12.771084337349398
28, Yoán Moncada,72,365,19.726027397260275,30,8.2,4.9,149,41.2,520,11.688311688311687,616,0.263,0.261,0.002,0.412,0.426,-0.014,0.347,0.353,-0.006,48.322147651006716,5.769230769230769,13.846153846153847
29, Tim Anderson,76,409,18.581907090464547,32,7.8,5.8,171,42.3,527,13.793103448275861,551,0.309,0.284,0.025,0.469,0.448,0.0209999999999999,0.345,0.329,0.0159999999999999,44.44444444444444,6.072106261859583,14.421252371916509
30, Odúbel Herrera,88,379,23.218997361477573,18,4.7,3.7,152,40.1,450,17.88617886178862,492,0.26,0.252,0.008,0.416,0.378,0.0379999999999999,0.312,0.302,0.01,57.89473684210527,4.0,19.555555555555557
31, Jazz Chisholm Jr.,68,324,20.98765432098765,29,9.0,5.7,136,42.0,464,13.41222879684418,507,0.248,0.238,0.01,0.425,0.409,0.016,0.312,0.307,0.005,50.0,6.25,14.655172413793101
32, Freddy Galvis,44,284,15.492957746478872,14,4.9,3.6,90,31.7,356,11.16751269035533,394,0.242,0.222,0.0199999999999999,0.407,0.35,0.0569999999999999,0.305,0.28,0.0249999999999999,48.888888888888886,3.932584269662921,12.359550561797752
33, J.T. Realmuto,74,349,21.20343839541547,30,8.6,5.6,156,44.7,476,13.780260707635009,537,0.263,0.253,0.01,0.439,0.416,0.023,0.336,0.329,0.007,47.43589743589743,6.302521008403361,15.546218487394958
34, Ronald Torreyes,15,283,5.30035335689046,1,0.4,0.3,40,14.1,318,4.3604651162790695,344,0.242,0.233,0.0089999999999999,0.346,0.299,0.0469999999999999,0.274,0.256,0.018,37.5,0.3144654088050315,4.716981132075472
35, Alec Bohm,68,273,24.90842490842491,18,6.6,4.3,135,49.5,380,16.30695443645084,417,0.247,0.261,-0.014,0.342,0.392,-0.0499999999999999,0.285,0.313,-0.028,50.37037037037037,4.736842105263158,17.894736842105264
36, Didi Gregorius,46,308,14.935064935064934,7,2.3,1.7,82,26.6,368,11.27450980392157,408,0.209,0.225,-0.016,0.37,0.329,0.0409999999999999,0.275,0.275,0.0,56.09756097560976,1.9021739130434785,12.5
37, Andrew McCutchen,76,357,21.288515406162464,32,9.0,5.6,141,39.5,482,13.240418118466899,574,0.222,0.24,-0.0179999999999999,0.444,0.431,0.013,0.335,0.344,-0.0089999999999999,53.90070921985816,6.639004149377594,15.767634854771783
38, Bryce Harper,78,360,21.666666666666668,65,18.1,10.9,179,49.7,488,13.02170283806344,599,0.309,0.301,0.008,0.615,0.609,0.006,0.431,0.43,0.001,43.575418994413404,13.319672131147541,15.983606557377051
39, Yuli Gurriel,95,474,20.042194092827003,16,3.4,2.6,199,42.0,530,15.702479338842975,605,0.319,0.271,0.0479999999999999,0.462,0.386,0.076,0.363,0.326,0.0369999999999999,47.73869346733669,3.018867924528302,17.92452830188679
40, Yordan Alvarez,105,395,26.582278481012654,63,15.9,10.5,214,54.2,537,17.558528428093645,598,0.277,0.279,-0.002,0.531,0.57,-0.0389999999999999,0.369,0.389,-0.02,49.06542056074766,11.731843575418994,19.553072625698324
41, Jose Altuve,84,517,16.247582205029012,33,6.4,4.9,181,35.0,601,12.389380530973451,678,0.278,0.262,0.016,0.489,0.421,0.068,0.357,0.332,0.0249999999999999,46.408839779005525,5.490848585690515,13.976705490848584
42, Yan Gomes,55,272,20.22058823529412,24,8.8,6.4,104,38.2,349,14.666666666666666,375,0.252,0.28,-0.028,0.421,0.469,-0.0479999999999999,0.308,0.341,-0.033,52.88461538461539,6.876790830945559,15.759312320916905
43, Kyle Tucker,105,421,24.94061757719715,49,11.6,8.6,200,47.5,506,18.51851851851852,567,0.294,0.303,-0.009,0.557,0.576,-0.0189999999999999,0.383,0.396,-0.013,52.5,9.683794466403162,20.75098814229249
44, Carlos Correa,88,445,19.775280898876403,42,9.4,6.6,190,42.7,556,13.750000000000002,640,0.279,0.296,-0.0169999999999999,0.485,0.482,0.003,0.364,0.373,-0.009,46.31578947368421,7.553956834532374,15.827338129496402
45, Matt Olson,125,463,26.997840172786177,59,12.7,8.8,226,48.8,565,18.573551263001487,673,0.271,0.264,0.007,0.54,0.507,0.033,0.379,0.378,0.001,55.309734513274336,10.442477876106194,22.123893805309734
46, Mark Canha,68,393,17.302798982188293,28,7.1,4.5,139,35.4,519,10.879999999999999,625,0.231,0.231,0.0,0.387,0.378,0.009,0.333,0.332,0.001,48.92086330935252,5.394990366088632,13.102119460500964
47, Tony Kemp,29,288,10.069444444444445,3,1.0,0.8,63,21.9,330,7.304785894206549,397,0.279,0.25,0.029,0.418,0.349,0.069,0.351,0.321,0.0299999999999999,46.03174603174603,0.9090909090909091,8.787878787878787
