,batter_name,hho,hho/bbe,hho/pa,hho/ab,hho/hh
57, Josh Donaldson,100,28.49002849002849,18.41620626151013,21.88183807439825,54.054054054054056
89, Manny Machado,134,28.32980972515856,20.9375,23.75886524822695,54.25101214574899
99, Aaron Judge,112,28.211586901763226,17.69352290679305,20.363636363636363,48.69565217391305
108, Nelson Cruz,110,27.77777777777778,18.835616438356166,21.40077821011673,52.88461538461539
161, Josh Bell,109,27.250000000000004,19.19014084507042,21.88755020080321,52.40384615384615
45, Matt Olson,125,26.997840172786177,18.573551263001487,22.123893805309734,55.309734513274336
58, Salvador Perez,121,26.651982378854626,18.195488721804512,19.516129032258064,47.45098039215686
40, Yordan Alvarez,105,26.582278481012654,17.558528428093645,19.553072625698324,49.06542056074766
166, Miguel Cabrera,95,26.170798898071624,18.06083650190114,20.127118644067796,53.37078651685393
90, Fernando Tatis Jr.,86,26.13981762917933,15.75091575091575,17.99163179916318,46.994535519125684
