,batter_name,hho,hho/bbe,hho/pa,hho/ab,hho/hh
89, Manny Machado,134,28.32980972515856,20.9375,23.75886524822695,54.25101214574899
161, Josh Bell,109,27.250000000000004,19.19014084507042,21.88755020080321,52.40384615384615
179, Harold Ramírez,69,24.125874125874127,19.113573407202217,20.294117647058822,51.11111111111111
108, Nelson Cruz,110,27.77777777777778,18.835616438356166,21.40077821011673,52.88461538461539
77, Eric Hosmer,105,25.423728813559322,18.58407079646018,20.6286836935167,54.123711340206185
45, Matt Olson,125,26.997840172786177,18.573551263001487,22.123893805309734,55.309734513274336
43, Kyle Tucker,105,24.94061757719715,18.51851851851852,20.75098814229249,52.5
57, Josh Donaldson,100,28.49002849002849,18.41620626151013,21.88183807439825,54.054054054054056
189, DJ LeMahieu,125,24.606299212598426,18.409425625920473,20.938023450586265,56.81818181818182
58, Salvador Perez,121,26.651982378854626,18.195488721804512,19.516129032258064,47.45098039215686
