,batter_name,hho,bbe,hho/bbe,barrels,brl_percent,brl_pa,hh,hh/bbe,ab,hho/pa,pa,ba,est_ba,ba_dif,slg,est_slg,slg_dif,woba,est_woba,woba_dif,hho/hh,hho/ab,barrels/ab,hho_rank,hho/pa_rank,hho/bbe_rank,hho/ab_rank,hho_percentile,hho/pa_percentile,hho/bbe_percentile,hho/ab_percentile,brl_percentile,hh_percentile,ba_percentile
56, Max Kepler,83,334,24.850299401197603,36,10.8,7.3,142,42.5,426,16.93877551020408,490,0.211,0.255,-0.044,0.413,0.452,-0.039,0.309,0.347,-0.0379999999999999,58.45070422535211,19.483568075117372,8.450704225352112,66.5,25.0,26.0,21.0,0.6773399014778325,0.8817733990147784,0.8768472906403941,0.9014778325123153,0.7216748768472906,0.6108374384236454,0.04433497536945813
62, Jackie Bradley Jr.,59,258,22.868217054263564,13,5.0,3.0,104,40.3,387,13.785046728971961,428,0.163,0.194,-0.031,0.261,0.29,-0.0289999999999999,0.224,0.253,-0.0289999999999999,56.730769230769226,15.245478036175712,3.359173126614987,149.5,100.0,47.0,104.0,0.2684729064039409,0.5123152709359606,0.7733990147783252,0.49261083743842365,0.2019704433497537,0.45073891625615764,0.0049261083743842365
54, Carlos Santana,114,468,24.358974358974358,32,6.8,4.9,196,41.9,566,17.298937784522003,659,0.214,0.244,-0.03,0.342,0.421,-0.0789999999999999,0.294,0.335,-0.041,58.16326530612245,20.141342756183743,5.6537102473498235,8.0,20.0,32.0,15.0,0.9655172413793104,0.9064039408866995,0.8472906403940886,0.9310344827586207,0.3522167487684729,0.5467980295566502,0.05665024630541872
193, Elvis Andrus,81,423,19.148936170212767,9,2.1,1.7,147,34.8,497,14.972273567467653,541,0.243,0.273,-0.03,0.32,0.375,-0.0549999999999999,0.27,0.308,-0.0379999999999999,55.10204081632652,16.297786720321934,1.8108651911468814,76.0,66.0,122.0,79.0,0.6305418719211823,0.6798029556650246,0.4039408866995074,0.6157635467980296,0.05172413793103448,0.20935960591133004,0.23891625615763548
91, Tommy Pham,89,351,25.356125356125357,35,10.0,6.2,167,47.6,475,15.86452762923351,561,0.229,0.258,-0.0289999999999999,0.383,0.443,-0.06,0.318,0.354,-0.0359999999999999,53.293413173652695,18.736842105263158,7.368421052631578,46.5,39.0,15.0,27.0,0.7758620689655172,0.812807881773399,0.9310344827586207,0.8719211822660099,0.6551724137931034,0.8448275862068966,0.1330049261083744
96, Kevin Newman,78,485,16.082474226804123,8,1.6,1.4,126,26.0,517,14.079422382671481,554,0.226,0.255,-0.0289999999999999,0.309,0.33,-0.021,0.249,0.275,-0.026,61.904761904761905,15.087040618955513,1.5473887814313347,87.0,91.0,171.0,107.0,0.5763546798029556,0.5566502463054187,0.1625615763546798,0.47783251231527096,0.03940886699507389,0.03940886699507389,0.11576354679802955
192, Anthony Santander,69,310,22.258064516129032,26,8.4,5.9,135,43.5,406,15.753424657534246,438,0.241,0.269,-0.028,0.433,0.446,-0.013,0.307,0.328,-0.021,51.11111111111111,16.995073891625616,6.403940886699508,114.5,40.0,57.0,58.0,0.4408866995073892,0.8078817733990148,0.7241379310344828,0.7192118226600985,0.5123152709359606,0.687192118226601,0.2044334975369458
42, Yan Gomes,55,272,20.22058823529412,24,8.8,6.4,104,38.2,349,14.666666666666666,375,0.252,0.28,-0.028,0.421,0.469,-0.0479999999999999,0.308,0.341,-0.033,52.88461538461539,15.759312320916905,6.876790830945559,167.0,81.0,100.0,92.0,0.18226600985221675,0.6059113300492611,0.5123152709359606,0.5517241379310345,0.5492610837438424,0.33251231527093594,0.3522167487684729
5, Jorge Soler,90,379,23.7467018469657,48,12.7,8.0,178,47.0,516,14.950166112956811,602,0.223,0.25,-0.0269999999999999,0.432,0.494,-0.062,0.323,0.359,-0.0359999999999999,50.56179775280899,17.441860465116278,9.30232558139535,42.0,68.0,35.0,53.0,0.7980295566502463,0.6699507389162561,0.8325123152709359,0.7438423645320197,0.8349753694581281,0.8004926108374384,0.09852216748768473
104, Gary Sánchez,56,262,21.374045801526716,36,13.7,8.2,110,42.0,383,12.727272727272727,440,0.204,0.228,-0.024,0.423,0.452,-0.029,0.314,0.336,-0.022,50.90909090909091,14.621409921671018,9.39947780678851,163.5,134.0,72.5,120.0,0.19950738916256158,0.3448275862068966,0.6477832512315271,0.41379310344827586,0.874384236453202,0.5640394088669951,0.024630541871921183
