,batter_name,hho,bbe,hho/bbe,barrels,brl_percent,brl_pa,hh,hh/bbe,ab,hho/pa,pa,ba,est_ba,ba_dif,slg,est_slg,slg_dif,woba,est_woba,woba_dif,hho/hh,hho/ab,barrels/ab,hho_rank,hho/pa_rank,hho/bbe_rank,hho/ab_rank,hho_percentile,hho/pa_percentile,hho/bbe_percentile,hho/ab_percentile,brl_percentile,hh_percentile,ba_percentile
11, Freddie Freeman,107,495,21.616161616161616,57,11.5,8.2,228,46.1,600,15.39568345323741,695,0.3,0.32,-0.02,0.503,0.583,-0.0799999999999999,0.379,0.416,-0.0369999999999999,46.92982456140351,17.833333333333336,9.5,13.5,51.0,68.0,47.0,0.9384236453201971,0.7536945812807881,0.6699507389162561,0.7733990147783252,0.7857142857142857,0.7684729064039408,0.9187192118226601
54, Carlos Santana,114,468,24.358974358974358,32,6.8,4.9,196,41.9,566,17.298937784522003,659,0.214,0.244,-0.03,0.342,0.421,-0.0789999999999999,0.294,0.335,-0.041,58.16326530612245,20.141342756183743,5.6537102473498235,8.0,20.0,32.0,15.0,0.9655172413793104,0.9064039408866995,0.8472906403940886,0.9310344827586207,0.3522167487684729,0.5467980295566502,0.05665024630541872
57, Josh Donaldson,100,351,28.49002849002849,61,17.4,11.2,185,52.7,457,18.41620626151013,543,0.247,0.269,-0.022,0.475,0.542,-0.067,0.353,0.388,-0.035,54.054054054054056,21.88183807439825,13.347921225382933,23.5,8.0,1.0,4.0,0.8891625615763546,0.9655172413793104,1.0,0.9852216748768473,0.9556650246305419,0.9532019704433498,0.2832512315270936
194, Jed Lowrie,82,353,23.229461756373937,33,9.3,6.4,162,45.9,458,16.015625,512,0.245,0.259,-0.014,0.398,0.464,-0.066,0.311,0.343,-0.032,50.617283950617285,17.903930131004365,7.20524017467249,71.0,36.0,40.0,43.0,0.6551724137931034,0.8275862068965517,0.8078817733990148,0.7931034482758621,0.6059113300492611,0.7635467980295566,0.26108374384236455
5, Jorge Soler,90,379,23.7467018469657,48,12.7,8.0,178,47.0,516,14.950166112956811,602,0.223,0.25,-0.0269999999999999,0.432,0.494,-0.062,0.323,0.359,-0.0359999999999999,50.56179775280899,17.441860465116278,9.30232558139535,42.0,68.0,35.0,53.0,0.7980295566502463,0.6699507389162561,0.8325123152709359,0.7438423645320197,0.8349753694581281,0.8004926108374384,0.09852216748768473
120, Paul Goldschmidt,118,472,25.0,64,13.6,9.4,239,50.6,604,17.378497790868924,679,0.294,0.293,0.001,0.514,0.575,-0.0609999999999999,0.373,0.397,-0.024,49.37238493723849,19.5364238410596,10.596026490066226,6.0,19.0,20.5,19.0,0.9753694581280788,0.9113300492610837,0.9039408866995073,0.9113300492610837,0.8645320197044335,0.916256157635468,0.8817733990147784
91, Tommy Pham,89,351,25.356125356125357,35,10.0,6.2,167,47.6,475,15.86452762923351,561,0.229,0.258,-0.0289999999999999,0.383,0.443,-0.06,0.318,0.354,-0.0359999999999999,53.293413173652695,18.736842105263158,7.368421052631578,46.5,39.0,15.0,27.0,0.7758620689655172,0.812807881773399,0.9310344827586207,0.8719211822660099,0.6551724137931034,0.8448275862068966,0.1330049261083744
101, Gleyber Torres,67,361,18.559556786703602,28,7.8,5.4,129,35.7,459,12.984496124031008,516,0.259,0.265,-0.006,0.366,0.423,-0.0569999999999999,0.307,0.331,-0.024,51.93798449612403,14.596949891067537,6.1002178649237475,123.0,125.0,131.0,122.0,0.39901477832512317,0.3891625615763547,0.35960591133004927,0.4039408866995074,0.45320197044334976,0.25862068965517243,0.4605911330049261
6, Dominic Smith,70,340,20.588235294117645,22,6.5,4.5,138,40.7,446,14.198782961460447,493,0.244,0.262,-0.018,0.363,0.42,-0.0569999999999999,0.291,0.325,-0.034,50.72463768115942,15.695067264573993,4.932735426008969,112.0,87.0,97.0,97.0,0.45320197044334976,0.5763546798029556,0.5270935960591133,0.5270935960591133,0.3226600985221675,0.47044334975369456,0.2512315270935961
193, Elvis Andrus,81,423,19.148936170212767,9,2.1,1.7,147,34.8,497,14.972273567467653,541,0.243,0.273,-0.03,0.32,0.375,-0.0549999999999999,0.27,0.308,-0.0379999999999999,55.10204081632652,16.297786720321934,1.8108651911468814,76.0,66.0,122.0,79.0,0.6305418719211823,0.6798029556650246,0.4039408866995074,0.6157635467980296,0.05172413793103448,0.20935960591133004,0.23891625615763548
